file,query,evidence,intervention
tree_80_7.lp,reach(88),\+reach(88);reach(48);\+reach(82);reach(80),reach(56);reach(58)
tree_80_7.lp,reach(88),\+reach(88);reach(82),reach(62);reach(32)
tree_80_7.lp,reach(88),\+reach(88);reach(13);reach(64);\+reach(83);reach(16);\+reach(80);reach(82),reach(8);reach(50)
tree_80_7.lp,reach(88),\+reach(88);\+reach(61);\+reach(22);reach(24),reach(48);reach(20)
tree_80_7.lp,reach(88),\+reach(88);reach(30);\+reach(84);reach(83),reach(35);reach(14)
tree_80_7.lp,reach(88),\+reach(88);\+reach(49);reach(8);\+reach(73);reach(51),reach(42);reach(53)
tree_80_7.lp,reach(88),\+reach(88);reach(84),reach(46);reach(51)
tree_80_7.lp,reach(88),\+reach(88);reach(73);reach(80),reach(84);reach(28)
tree_80_7.lp,reach(88),\+reach(88);reach(64);\+reach(16),reach(70);reach(36)
tree_80_7.lp,reach(88),\+reach(88);\+reach(6);\+reach(76);\+reach(33);\+reach(79);\+reach(14);\+reach(20);\+reach(10);\+reach(3);\+reach(30),reach(39);reach(70)
tree_80_8.lp,reach(89),\+reach(89);reach(37);reach(81),reach(47);reach(68)
tree_80_8.lp,reach(89),\+reach(89);\+reach(17);\+reach(68);\+reach(39);reach(34);reach(79);\+reach(3),reach(34);reach(42)
tree_80_8.lp,reach(89),\+reach(89);\+reach(45);reach(0);\+reach(71),reach(52);reach(53)
tree_80_8.lp,reach(89),\+reach(89);\+reach(21);reach(12);\+reach(79);\+reach(74);\+reach(66),reach(22);reach(27)
tree_80_8.lp,reach(89),\+reach(89);\+reach(27);reach(1),reach(3);reach(29)
tree_80_8.lp,reach(89),\+reach(89);\+reach(25);reach(52);reach(31),reach(52);reach(40)
tree_80_8.lp,reach(89),\+reach(89);\+reach(69);\+reach(75);\+reach(14);reach(47),reach(76);reach(6)
tree_80_8.lp,reach(89),\+reach(89);reach(61);\+reach(86);\+reach(83);\+reach(85);reach(84),reach(52);reach(81)
tree_80_8.lp,reach(89),\+reach(89);\+reach(60);\+reach(59);reach(12);\+reach(74);\+reach(79);reach(66),reach(0);reach(64)
tree_80_8.lp,reach(89),\+reach(89);\+reach(70);reach(27);reach(23);reach(65),reach(80);reach(62)
tree_80_9.lp,reach(90),\+reach(90);\+reach(75);\+reach(42);\+reach(5);\+reach(34);reach(32);\+reach(43);reach(36),reach(13);reach(2)
tree_80_9.lp,reach(90),\+reach(90);reach(32);reach(53);\+reach(84);reach(86),reach(22);reach(82)
tree_80_9.lp,reach(90),\+reach(90);reach(44);reach(23);\+reach(80);reach(85),reach(70);reach(46)
tree_80_9.lp,reach(90),\+reach(90);\+reach(35);reach(40);\+reach(27),reach(17);reach(43)
tree_80_9.lp,reach(90),\+reach(90);\+reach(67);reach(48),reach(57);reach(56)
tree_80_9.lp,reach(90),\+reach(90);\+reach(72);\+reach(2);reach(40);reach(27),reach(6);reach(54)
tree_80_9.lp,reach(90),\+reach(90);reach(59);reach(86),reach(50);reach(88)
tree_80_9.lp,reach(90),\+reach(90);\+reach(76);\+reach(0),reach(75);reach(80)
tree_80_9.lp,reach(90),\+reach(90);reach(57);reach(80),reach(64);reach(5)
tree_80_9.lp,reach(90),\+reach(90);\+reach(53);\+reach(59);\+reach(24);\+reach(17);reach(47),reach(39);reach(85)
tree_90_7.lp,reach(98),\+reach(98);reach(5);\+reach(93);\+reach(90);reach(92),reach(11);reach(64)
tree_90_7.lp,reach(98),\+reach(98);reach(89);reach(95),reach(6);reach(38)
tree_90_7.lp,reach(98),\+reach(98);reach(79);reach(94),reach(36);reach(38)
tree_90_7.lp,reach(98),\+reach(98);\+reach(34);\+reach(1);\+reach(2);\+reach(77);\+reach(0),reach(17);reach(19)
tree_90_7.lp,reach(98),\+reach(98);\+reach(11);\+reach(80);\+reach(59);reach(0);reach(86);\+reach(58),reach(90);reach(34)
tree_90_7.lp,reach(98),\+reach(98);\+reach(29);reach(21);\+reach(28);reach(82),reach(19);reach(50)
tree_90_7.lp,reach(98),\+reach(98);\+reach(16);reach(8);reach(56),reach(75);reach(92)
tree_90_7.lp,reach(98),\+reach(98);\+reach(89);reach(88);\+reach(22);\+reach(37);\+reach(38);reach(70);\+reach(76);\+reach(25);reach(47),reach(72);reach(1)
tree_90_7.lp,reach(98),\+reach(98);\+reach(38);reach(60);\+reach(6),reach(13);reach(92)
tree_90_7.lp,reach(98),\+reach(98);\+reach(36);reach(62);reach(85),reach(37);reach(74)
tree_90_8.lp,reach(99),\+reach(99);reach(56);\+reach(90);\+reach(95);\+reach(91);\+reach(96);reach(94),reach(0);reach(70)
tree_90_8.lp,reach(99),\+reach(99);\+reach(88);reach(9);reach(8);reach(46);\+reach(84),reach(90);reach(43)
tree_90_8.lp,reach(99),\+reach(99);\+reach(96);reach(51);\+reach(92);reach(23);\+reach(93);reach(94),reach(21);reach(50)
tree_90_8.lp,reach(99),\+reach(99);reach(1);reach(93),reach(83);reach(18)
tree_90_8.lp,reach(99),\+reach(99);reach(76);reach(95),reach(40);reach(46)
tree_90_8.lp,reach(99),\+reach(99);reach(52);\+reach(25);\+reach(47),reach(50);reach(95)
tree_90_8.lp,reach(99),\+reach(99);\+reach(72);\+reach(32);reach(11);reach(83);\+reach(74),reach(57);reach(19)
tree_90_8.lp,reach(99),\+reach(99);reach(7);\+reach(95);\+reach(91);reach(90),reach(69);reach(43)
tree_90_8.lp,reach(99),\+reach(99);reach(50);reach(94),reach(36);reach(83)
tree_90_8.lp,reach(99),\+reach(99);\+reach(20);reach(24);\+reach(32),reach(0);reach(46)
tree_90_9.lp,reach(100),\+reach(100);\+reach(30);reach(1);\+reach(59);reach(39),reach(62)
tree_90_9.lp,reach(100),\+reach(100);\+reach(74);reach(77),reach(62);reach(21)
tree_90_9.lp,reach(100),\+reach(100);\+reach(36);\+reach(83);\+reach(19);reach(30),reach(26);reach(82)
tree_90_9.lp,reach(100),\+reach(100);reach(12);\+reach(96);reach(84);reach(92),reach(0);reach(70)
tree_90_9.lp,reach(100),\+reach(100);reach(8);\+reach(95);reach(42);reach(96),reach(84);reach(74)
tree_90_9.lp,reach(100),\+reach(100);reach(32);reach(91),reach(32);reach(20)
tree_90_9.lp,reach(100),\+reach(100);\+reach(7);reach(78),reach(24);reach(57)
tree_90_9.lp,reach(100),\+reach(100);reach(85);reach(35);reach(92),reach(89);reach(73)
tree_90_9.lp,reach(100),\+reach(100);\+reach(45);\+reach(77);\+reach(47);reach(48);\+reach(27),reach(84);reach(96)
tree_90_9.lp,reach(100),\+reach(100);\+reach(6);\+reach(65);reach(27),reach(77);reach(65)
tree_100_7.lp,reach(108),\+reach(108);\+reach(45);\+reach(6);reach(0);reach(88);\+reach(13);reach(26),reach(73);reach(105)
tree_100_7.lp,reach(108),\+reach(108);reach(72);reach(105),reach(26);reach(83)
