file,query,evidence,intervention
tree_20_9.lp,reach(30),\+reach(30);\+reach(26),reach(27);reach(15)
tree_100_3.lp,reach(104),\+reach(104);\+reach(25),reach(34);reach(47)
tree_20_3.lp,reach(24),\+reach(24);reach(15),reach(12);reach(7)
tree_60_20.lp,reach(81),\+reach(81);\+reach(5),reach(65);reach(6)
tree_60_14.lp,reach(75),\+reach(75);reach(27),reach(41);reach(27)
tree_170_6.lp,reach(177),\+reach(177);\+reach(113),reach(60);reach(19)
tree_60_12.lp,reach(73),\+reach(73);reach(36),reach(19);reach(5)
tree_20_21.lp,reach(42),\+reach(42);\+reach(15),reach(19);reach(14)
tree_200_12.lp,reach(213),\+reach(213);reach(12),reach(141);reach(108)
tree_60_16.lp,reach(77),\+reach(77);\+reach(49),reach(61);reach(49)
tree_120_4.lp,reach(125),\+reach(125);reach(43),reach(78);reach(82)
tree_70_10.lp,reach(81),\+reach(81);\+reach(13),reach(14);reach(68)
tree_110_6.lp,reach(117),\+reach(117);\+reach(95),reach(25);reach(68)
tree_190_4.lp,reach(195),\+reach(195);reach(54),reach(118);reach(93)
tree_140_9.lp,reach(150),\+reach(150);\+reach(66),reach(135);reach(75)
tree_60_8.lp,reach(69),\+reach(69);reach(6),reach(17);reach(57)
tree_170_11.lp,reach(182),\+reach(182);\+reach(98),reach(161);reach(103)
tree_50_24.lp,reach(75),\+reach(75);reach(27),reach(19);reach(67)
tree_180_19.lp,reach(200),\+reach(200);reach(74),reach(128);reach(28)
tree_150_22.lp,reach(173),\+reach(173);\+reach(21),reach(59);reach(120)
tree_60_3.lp,reach(64),\+reach(64);reach(39),reach(43);reach(59)
tree_200_24.lp,reach(225),\+reach(225);reach(129),reach(110);reach(85)
tree_40_13.lp,reach(54),\+reach(54);\+reach(32),reach(14);reach(43)
tree_50_4.lp,reach(55),\+reach(55);\+reach(26),reach(0);reach(11)
tree_50_6.lp,reach(57),\+reach(57);reach(24),reach(32);reach(53)
tree_80_2.lp,reach(83),\+reach(83);reach(70),reach(54);reach(62)
tree_50_7.lp,reach(58),\+reach(58);\+reach(23),reach(46);reach(7)
tree_20_14.lp,reach(35),\+reach(35);\+reach(6),reach(11);reach(14)
tree_60_4.lp,reach(65),\+reach(65);\+reach(14),reach(44);reach(18)
tree_50_8.lp,reach(59),\+reach(59);reach(26),reach(48);reach(52)
tree_80_8.lp,reach(89),\+reach(89);reach(69),reach(35);reach(66)
tree_100_20.lp,reach(121),\+reach(121);\+reach(32),reach(119);reach(39)
tree_20_17.lp,reach(38),\+reach(38);reach(24),reach(14);reach(13)
tree_30_24.lp,reach(55),\+reach(55);\+reach(17),reach(15);reach(1)
tree_150_7.lp,reach(158),\+reach(158);reach(141),reach(128);reach(138)
tree_100_1.lp,reach(102),\+reach(102);\+reach(70),reach(62);reach(91)
tree_70_12.lp,reach(83),\+reach(83);reach(60),reach(17);reach(2)
tree_30_2.lp,reach(33),\+reach(33);\+reach(5),reach(16);reach(31)
tree_70_22.lp,reach(93),\+reach(93);reach(2),reach(7);reach(77)
tree_50_25.lp,reach(76),\+reach(76);reach(11),reach(74);reach(32)
tree_70_1.lp,reach(72),\+reach(72);\+reach(27),reach(64);reach(8)
tree_80_22.lp,reach(103),\+reach(103);reach(79),reach(49);reach(78)
tree_30_12.lp,reach(43),\+reach(43);reach(37),reach(9);reach(22)
tree_60_6.lp,reach(67),\+reach(67);\+reach(46),reach(16);reach(33)
tree_40_9.lp,reach(50),\+reach(50);reach(10),reach(28);reach(23)
tree_20_6.lp,reach(27),\+reach(27);\+reach(16),reach(16);reach(6)
tree_90_8.lp,reach(99),\+reach(99);\+reach(57),reach(54);reach(51)
tree_90_1.lp,reach(92),\+reach(92);reach(63),reach(73);reach(51)
tree_150_19.lp,reach(170),\+reach(170);reach(68),reach(157);reach(103)
tree_50_19.lp,reach(70),\+reach(70);\+reach(30),reach(42);reach(17)
tree_70_16.lp,reach(87),\+reach(87);\+reach(78),reach(52);reach(7)
tree_90_4.lp,reach(95),\+reach(95);reach(62),reach(69);reach(15)
tree_110_17.lp,reach(128),\+reach(128);reach(8),reach(113);reach(0)
tree_150_3.lp,reach(154),\+reach(154);\+reach(67),reach(25);reach(118)
tree_170_9.lp,reach(180),\+reach(180);\+reach(149),reach(32);reach(89)
tree_40_6.lp,reach(47),\+reach(47);reach(12),reach(5);reach(19)
tree_190_3.lp,reach(194),\+reach(194);\+reach(56),reach(9);reach(171)
