file,query,evidence,intervention
tree_100_15.lp,reach(116),\+reach(116);reach(70);reach(82);reach(34);reach(89);reach(100),\+reach(26);\+reach(76);\+reach(44);\+reach(84);\+reach(62)
tree_100_15.lp,reach(116),\+reach(116);reach(70);reach(82);reach(34);reach(89);reach(100),\+reach(30);\+reach(86);\+reach(28);\+reach(50)
tree_100_15.lp,reach(116),\+reach(116);reach(70);reach(82);reach(34);reach(89);reach(100),\+reach(67);\+reach(1);\+reach(28)
tree_100_15.lp,reach(116),\+reach(116);reach(70);reach(82);reach(34);reach(89);reach(100),\+reach(98);\+reach(53)
tree_100_15.lp,reach(116),\+reach(116);reach(70);reach(82);reach(34);reach(89);reach(100),\+reach(65)
tree_100_15.lp,reach(116),\+reach(116);reach(70);reach(82);reach(34);reach(89);reach(100),
tree_100_15.lp,reach(116),\+reach(116);reach(70);reach(82);reach(34);reach(89);reach(100),reach(81)
tree_100_15.lp,reach(116),\+reach(116);reach(70);reach(82);reach(34);reach(89);reach(100),reach(40);reach(96)
tree_100_15.lp,reach(116),\+reach(116);reach(70);reach(82);reach(34);reach(89);reach(100),reach(49);reach(92);reach(94)
tree_100_15.lp,reach(116),\+reach(116);reach(70);reach(82);reach(34);reach(89);reach(100),reach(72);reach(52);reach(54);reach(18)
tree_100_15.lp,reach(116),\+reach(116);reach(70);reach(82);reach(34);reach(89);reach(100),reach(29);reach(65);reach(58);reach(103);reach(50)
tree_100_15.lp,reach(116),\+reach(116);reach(13);reach(88);reach(94);reach(103),\+reach(27);\+reach(74);\+reach(55);\+reach(73);\+reach(40)
tree_100_15.lp,reach(116),\+reach(116);reach(13);reach(88);reach(94);reach(103),\+reach(47);\+reach(96);\+reach(11);\+reach(100)
tree_100_15.lp,reach(116),\+reach(116);reach(13);reach(88);reach(94);reach(103),\+reach(110);\+reach(112);\+reach(78)
tree_100_15.lp,reach(116),\+reach(116);reach(13);reach(88);reach(94);reach(103),\+reach(89);\+reach(40)
tree_100_15.lp,reach(116),\+reach(116);reach(13);reach(88);reach(94);reach(103),\+reach(71)
tree_100_15.lp,reach(116),\+reach(116);reach(13);reach(88);reach(94);reach(103),
tree_100_15.lp,reach(116),\+reach(116);reach(13);reach(88);reach(94);reach(103),reach(11)
tree_100_15.lp,reach(116),\+reach(116);reach(13);reach(88);reach(94);reach(103),reach(19);reach(95)
tree_100_15.lp,reach(116),\+reach(116);reach(13);reach(88);reach(94);reach(103),reach(21);reach(62);reach(83)
tree_100_15.lp,reach(116),\+reach(116);reach(13);reach(88);reach(94);reach(103),reach(33);reach(107);reach(6);reach(51)
tree_100_15.lp,reach(116),\+reach(116);reach(13);reach(88);reach(94);reach(103),reach(89);reach(17);reach(9);reach(16);reach(38)
tree_100_15.lp,reach(116),\+reach(116);reach(30);reach(36);reach(100),\+reach(108);\+reach(13);\+reach(23);\+reach(2);\+reach(59)
tree_100_15.lp,reach(116),\+reach(116);reach(30);reach(36);reach(100),\+reach(98);\+reach(8);\+reach(88);\+reach(81)
tree_100_15.lp,reach(116),\+reach(116);reach(30);reach(36);reach(100),\+reach(85);\+reach(108);\+reach(68)
tree_100_15.lp,reach(116),\+reach(116);reach(30);reach(36);reach(100),\+reach(17);\+reach(85)
tree_100_15.lp,reach(116),\+reach(116);reach(30);reach(36);reach(100),\+reach(60)
tree_100_15.lp,reach(116),\+reach(116);reach(30);reach(36);reach(100),
tree_100_15.lp,reach(116),\+reach(116);reach(30);reach(36);reach(100),reach(42)
tree_100_15.lp,reach(116),\+reach(116);reach(30);reach(36);reach(100),reach(77);reach(109)
tree_100_15.lp,reach(116),\+reach(116);reach(30);reach(36);reach(100),reach(49);reach(15);reach(45)
tree_100_15.lp,reach(116),\+reach(116);reach(30);reach(36);reach(100),reach(0);reach(75);reach(43);reach(112)
tree_100_15.lp,reach(116),\+reach(116);reach(30);reach(36);reach(100),reach(80);reach(22);reach(85);reach(26);reach(44)
tree_100_15.lp,reach(116),\+reach(116);reach(49);reach(105),\+reach(113);\+reach(90);\+reach(114);\+reach(16);\+reach(9)
tree_100_15.lp,reach(116),\+reach(116);reach(49);reach(105),\+reach(10);\+reach(36);\+reach(21);\+reach(73)
tree_100_15.lp,reach(116),\+reach(116);reach(49);reach(105),\+reach(100);\+reach(7);\+reach(63)
tree_100_15.lp,reach(116),\+reach(116);reach(49);reach(105),\+reach(108);\+reach(85)
tree_100_15.lp,reach(116),\+reach(116);reach(49);reach(105),\+reach(84)
tree_100_15.lp,reach(116),\+reach(116);reach(49);reach(105),
tree_100_15.lp,reach(116),\+reach(116);reach(49);reach(105),reach(69)
